"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2015";"2020"
"Nível";"Cód.";"Município";"Bovino";"Bovino"
"MU";"2605459";"Fernando de Noronha (PE)";"120";"78"
"MU";"2605509";"Ferreiros (PE)";"2240";"1968"
"MU";"2605608";"Flores (PE)";"12140";"12100"
"MU";"2605707";"Floresta (PE)";"14268";"12500"
"MU";"2605806";"Frei Miguelinho (PE)";"7000";"7480"
"MU";"2605905";"Gameleira (PE)";"1697";"1217"
"MU";"2606002";"Garanhuns (PE)";"25478";"21380"
"MU";"2606101";"Glória do Goitá (PE)";"5964";"4136"
"MU";"2606200";"Goiana (PE)";"2084";"1940"
"MU";"2606309";"Granito (PE)";"20500";"14107"
"MU";"2606408";"Gravatá (PE)";"20395";"15462"
"MU";"2606507";"Iati (PE)";"22398";"26625"
"MU";"2606606";"Ibimirim (PE)";"9000";"6419"
"MU";"2606705";"Ibirajuba (PE)";"10430";"9150"
"MU";"2606804";"Igarassu (PE)";"1781";"1773"
"MU";"2606903";"Iguaracy (PE)";"9674";"13467"
"MU";"2607000";"Inajá (PE)";"8600";"4535"
"MU";"2607109";"Ingazeira (PE)";"3611";"6120"
"MU";"2607208";"Ipojuca (PE)";"2100";"2192"
"MU";"2607307";"Ipubi (PE)";"5400";"7462"
"MU";"2607406";"Itacuruba (PE)";"1001";"760"
"MU";"2607505";"Itaíba (PE)";"50000";"60005"
"MU";"2607604";"Ilha de Itamaracá (PE)";"539";"296"
"MU";"2607653";"Itambé (PE)";"3425";"3555"
"MU";"2607703";"Itapetim (PE)";"7392";"8890"
"MU";"2607752";"Itapissuma (PE)";"197";"300"
"MU";"2607802";"Itaquitinga (PE)";"820";"587"
"MU";"2607901";"Jaboatão dos Guararapes (PE)";"2500";"2480"
"MU";"2607950";"Jaqueira (PE)";"1800";"3869"
"MU";"2608008";"Jataúba (PE)";"7175";"3820"
"MU";"2608057";"Jatobá (PE)";"2100";"1500"
"MU";"2608107";"João Alfredo (PE)";"6103";"5700"
"MU";"2608206";"Joaquim Nabuco (PE)";"2179";"3081"
"MU";"2608255";"Jucati (PE)";"6892";"4494"
"MU";"2608305";"Jupi (PE)";"5695";"5209"
"MU";"2608404";"Jurema (PE)";"9040";"7540"
"MU";"2608453";"Lagoa do Carro (PE)";"4645";"4500"
"MU";"2608503";"Lagoa de Itaenga (PE)";"2135";"3800"
"MU";"2608602";"Lagoa do Ouro (PE)";"22000";"23290"
"MU";"2608701";"Lagoa dos Gatos (PE)";"7200";"5105"
"MU";"2608750";"Lagoa Grande (PE)";"7340";"7200"
"MU";"2608800";"Lajedo (PE)";"13993";"14773"
"MU";"2608909";"Limoeiro (PE)";"17881";"15330"
"MU";"2609006";"Macaparana (PE)";"6226";"7286"
"MU";"2609105";"Machados (PE)";"2230";"1600"
"MU";"2609154";"Manari (PE)";"10000";"8961"
"MU";"2609204";"Maraial (PE)";"5862";"6381"
"MU";"2609303";"Mirandiba (PE)";"6650";"7291"
"MU";"2609402";"Moreno (PE)";"4500";"5252"
"MU";"2609501";"Nazaré da Mata (PE)";"4134";"2514"
"MU";"2609600";"Olinda (PE)";"130";"64"
"MU";"2609709";"Orobó (PE)";"6550";"5250"
"MU";"2609808";"Orocó (PE)";"3760";"3150"
"MU";"2609907";"Ouricuri (PE)";"33962";"36239"
"MU";"2610004";"Palmares (PE)";"10546";"11818"
"MU";"2610103";"Palmeirina (PE)";"21000";"14213"
"MU";"2610202";"Panelas (PE)";"14072";"9600"
"MU";"2610301";"Paranatama (PE)";"6500";"5908"
"MU";"2610400";"Parnamirim (PE)";"18458";"19574"
"MU";"2610509";"Passira (PE)";"8300";"9400"
"MU";"2610608";"Paudalho (PE)";"4898";"4100"
"MU";"2610707";"Paulista (PE)";"1079";"915"
"MU";"2610806";"Pedra (PE)";"36000";"40866"
"MU";"2610905";"Pesqueira (PE)";"33424";"28800"
"MU";"2611002";"Petrolândia (PE)";"5150";"3800"
"MU";"2611101";"Petrolina (PE)";"16100";"10500"
"MU";"2611200";"Poção (PE)";"9960";"7800"
"MU";"2611309";"Pombos (PE)";"5744";"5420"
"MU";"2611408";"Primavera (PE)";"2162";"1904"
"MU";"2611507";"Quipapá (PE)";"16601";"17325"
"MU";"2611533";"Quixaba (PE)";"5498";"7024"
"MU";"2611606";"Recife (PE)";"920";"640"
"MU";"2611705";"Riacho das Almas (PE)";"7093";"8679"
"MU";"2611804";"Ribeirão (PE)";"5083";"4290"
"MU";"2611903";"Rio Formoso (PE)";"1978";"1870"
"MU";"2612000";"Sairé (PE)";"12100";"13742"
"MU";"2612109";"Salgadinho (PE)";"2500";"2450"
"MU";"2612208";"Salgueiro (PE)";"13231";"15841"
"MU";"2612307";"Saloá (PE)";"13046";"10177"
"MU";"2612406";"Sanharó (PE)";"17000";"13700"
"MU";"2612455";"Santa Cruz (PE)";"7464";"5839"
"MU";"2612471";"Santa Cruz da Baixa Verde (PE)";"5250";"3380"
"MU";"2612505";"Santa Cruz do Capibaribe (PE)";"4224";"4332"
"MU";"2612554";"Santa Filomena (PE)";"5300";"4381"
"MU";"2612604";"Santa Maria da Boa Vista (PE)";"9750";"8600"
"MU";"2612703";"Santa Maria do Cambucá (PE)";"2600";"2850"
"MU";"2612802";"Santa Terezinha (PE)";"4356";"4446"
"MU";"2612901";"São Benedito do Sul (PE)";"8885";"10254"
"MU";"2613008";"São Bento do Una (PE)";"52000";"52000"
"MU";"2613107";"São Caitano (PE)";"18500";"18061"
"MU";"2613206";"São João (PE)";"12510";"11588"
"MU";"2613305";"São Joaquim do Monte (PE)";"15909";"14249"
"MU";"2613404";"São José da Coroa Grande (PE)";"3208";"3184"
"MU";"2613503";"São José do Belmonte (PE)";"19400";"16300"
"MU";"2613602";"São José do Egito (PE)";"13468";"19714"
"MU";"2613701";"São Lourenço da Mata (PE)";"1900";"1800"
"MU";"2613800";"São Vicente Férrer (PE)";"6062";"6238"
"MU";"2613909";"Serra Talhada (PE)";"35150";"32000"
"MU";"2614006";"Serrita (PE)";"19569";"17347"
"MU";"2614105";"Sertânia (PE)";"19000";"18881"
"MU";"2614204";"Sirinhaém (PE)";"864";"925"
"MU";"2614303";"Moreilândia (PE)";"12420";"15378"
"MU";"2614402";"Solidão (PE)";"2833";"3905"
"MU";"2614501";"Surubim (PE)";"16890";"14100"
"MU";"2614600";"Tabira (PE)";"12832";"16933"
"MU";"2614709";"Tacaimbó (PE)";"6824";"8300"
"MU";"2614808";"Tacaratu (PE)";"5520";"5400"
"MU";"2614857";"Tamandaré (PE)";"4793";"6126"
"MU";"2615003";"Taquaritinga do Norte (PE)";"8461";"8251"
"MU";"2615102";"Terezinha (PE)";"8902";"8188"
"MU";"2615201";"Terra Nova (PE)";"3523";"4190"
"MU";"2615300";"Timbaúba (PE)";"10188";"11514"
"MU";"2615409";"Toritama (PE)";"2064";"1337"
"MU";"2615508";"Tracunhaém (PE)";"2677";"2463"
"MU";"2615607";"Trindade (PE)";"3070";"2959"
"MU";"2615706";"Triunfo (PE)";"3900";"2669"
"MU";"2615805";"Tupanatinga (PE)";"25000";"16907"
"MU";"2615904";"Tuparetama (PE)";"3223";"5942"
"MU";"2616001";"Venturosa (PE)";"18600";"23950"
"MU";"2616100";"Verdejante (PE)";"4425";"3760"
"MU";"2616183";"Vertente do Lério (PE)";"3803";"4000"
"MU";"2616209";"Vertentes (PE)";"7740";"6400"
"MU";"2616308";"Vicência (PE)";"4060";"2600"
"MU";"2616407";"Vitória de Santo Antão (PE)";"8043";"8374"
"MU";"2616506";"Xexéu (PE)";"4847";"7443"
"MU";"2700102";"Água Branca (AL)";"9497";"10689"
"MU";"2700201";"Anadia (AL)";"12544";"14500"
"MU";"2700300";"Arapiraca (AL)";"34384";"21270"
"MU";"2700409";"Atalaia (AL)";"19948";"29400"
"MU";"2700508";"Barra de Santo Antônio (AL)";"520";"547"
"MU";"2700607";"Barra de São Miguel (AL)";"23";"216"
"MU";"2700706";"Batalha (AL)";"23236";"19742"
"MU";"2700805";"Belém (AL)";"7974";"6536"
"MU";"2700904";"Belo Monte (AL)";"16977";"10947"
"MU";"2701001";"Boca da Mata (AL)";"12000";"14120"
"MU";"2701100";"Branquinha (AL)";"6616";"9500"
"MU";"2701209";"Cacimbinhas (AL)";"14943";"17594"
"MU";"2701308";"Cajueiro (AL)";"6908";"8500"
"MU";"2701357";"Campestre (AL)";"1964";"2350"
"MU";"2701407";"Campo Alegre (AL)";"2762";"3285"
"MU";"2701506";"Campo Grande (AL)";"17650";"19000"
"MU";"2701605";"Canapi (AL)";"15260";"17824"
"MU";"2701704";"Capela (AL)";"13554";"18900"
"MU";"2701803";"Carneiros (AL)";"5208";"4424"
"MU";"2701902";"Chã Preta (AL)";"27221";"33000"
"MU";"2702009";"Coité do Nóia (AL)";"9625";"7299"
"MU";"2702108";"Colônia Leopoldina (AL)";"4861";"5574"
"MU";"2702207";"Coqueiro Seco (AL)";"126";"650"
"MU";"2702306";"Coruripe (AL)";"6313";"4582"
"MU";"2702355";"Craíbas (AL)";"19265";"13175"
"MU";"2702405";"Delmiro Gouveia (AL)";"8838";"8153"
"MU";"2702504";"Dois Riachos (AL)";"9918";"12000"
"MU";"2702553";"Estrela de Alagoas (AL)";"11557";"12462"
"MU";"2702603";"Feira Grande (AL)";"17989";"11250"
"MU";"2702702";"Feliz Deserto (AL)";"915";"1100"
"MU";"2702801";"Flexeiras (AL)";"9709";"14000"
"MU";"2702900";"Girau do Ponciano (AL)";"40254";"34220"
"MU";"2703007";"Ibateguara (AL)";"15261";"18500"
"MU";"2703106";"Igaci (AL)";"17510";"16005"
"MU";"2703205";"Igreja Nova (AL)";"30710";"30000"
"MU";"2703304";"Inhapi (AL)";"14568";"14742"
"MU";"2703403";"Jacaré dos Homens (AL)";"17587";"10900"
"MU";"2703502";"Jacuípe (AL)";"11802";"14400"
"MU";"2703601";"Japaratinga (AL)";"1402";"4180"
"MU";"2703700";"Jaramataia (AL)";"9654";"6076"
"MU";"2703759";"Jequiá da Praia (AL)";"434";"1018"
"MU";"2703809";"Joaquim Gomes (AL)";"17136";"20000"
"MU";"2703908";"Jundiá (AL)";"4030";"6750"
"MU";"2704005";"Junqueiro (AL)";"9510";"8406"
"MU";"2704104";"Lagoa da Canoa (AL)";"9456";"5354"
"MU";"2704203";"Limoeiro de Anadia (AL)";"12568";"14190"
"MU";"2704302";"Maceió (AL)";"3887";"4242"
"MU";"2704401";"Major Isidoro (AL)";"27399";"32230"
"MU";"2704500";"Maragogi (AL)";"8442";"10800"
"MU";"2704609";"Maravilha (AL)";"8578";"3611"
"MU";"2704708";"Marechal Deodoro (AL)";"3420";"3956"
"MU";"2704807";"Maribondo (AL)";"10375";"25000"
"MU";"2704906";"Mar Vermelho (AL)";"8443";"11000"
"MU";"2705002";"Mata Grande (AL)";"17779";"17581"
"MU";"2705101";"Matriz de Camaragibe (AL)";"10179";"12245"
"MU";"2705200";"Messias (AL)";"1614";"2900"
"MU";"2705309";"Minador do Negrão (AL)";"12280";"12476"
"MU";"2705408";"Monteirópolis (AL)";"7748";"6982"
"MU";"2705507";"Murici (AL)";"17837";"25000"
"MU";"2705606";"Novo Lino (AL)";"6352";"10000"
"MU";"2705705";"Olho d'Água das Flores (AL)";"9696";"7547"
"MU";"2705804";"Olho d'Água do Casado (AL)";"7231";"6835"
"MU";"2705903";"Olho d'Água Grande (AL)";"9646";"10800"
"MU";"2706000";"Olivença (AL)";"10766";"12672"
"MU";"2706109";"Ouro Branco (AL)";"5883";"7249"
"MU";"2706208";"Palestina (AL)";"2198";"1851"
"MU";"2706307";"Palmeira dos Índios (AL)";"42347";"36500"
"MU";"2706406";"Pão de Açúcar (AL)";"23361";"19680"
"MU";"2706422";"Pariconha (AL)";"4664";"3865"
"MU";"2706448";"Paripueira (AL)";"310";"163"
"MU";"2706505";"Passo de Camaragibe (AL)";"7046";"7250"
"MU";"2706604";"Paulo Jacinto (AL)";"12862";"14000"
"MU";"2706703";"Penedo (AL)";"15237";"18629"
"MU";"2706802";"Piaçabuçu (AL)";"4417";"4800"
"MU";"2706901";"Pilar (AL)";"5550";"8253"
"MU";"2707008";"Pindoba (AL)";"15063";"16000"
"MU";"2707107";"Piranhas (AL)";"11832";"10589"
"MU";"2707206";"Poço das Trincheiras (AL)";"11094";"9500"
"MU";"2707305";"Porto Calvo (AL)";"20039";"24800"
"MU";"2707404";"Porto de Pedras (AL)";"6059";"8909"
"MU";"2707503";"Porto Real do Colégio (AL)";"15861";"16500"
"MU";"2707602";"Quebrangulo (AL)";"31821";"33500"
"MU";"2707701";"Rio Largo (AL)";"2774";"3898"
"MU";"2707800";"Roteiro (AL)";"406";"1585"
"MU";"2707909";"Santa Luzia do Norte (AL)";"411";"1020"
"MU";"2708006";"Santana do Ipanema (AL)";"23100";"19928"
"MU";"2708105";"Santana do Mundaú (AL)";"19011";"18000"
"MU";"2708204";"São Brás (AL)";"10627";"9500"
"MU";"2708303";"São José da Laje (AL)";"10299";"10893"
"MU";"2708402";"São José da Tapera (AL)";"25386";"21860"
"MU";"2708501";"São Luís do Quitunde (AL)";"10427";"14000"
"MU";"2708600";"São Miguel dos Campos (AL)";"3410";"4558"
"MU";"2708709";"São Miguel dos Milagres (AL)";"2596";"3311"
"MU";"2708808";"São Sebastião (AL)";"21811";"23000"
"MU";"2708907";"Satuba (AL)";"2178";"1624"
"MU";"2708956";"Senador Rui Palmeira (AL)";"14069";"12948"
"MU";"2709004";"Tanque d'Arca (AL)";"9400";"10000"
"MU";"2709103";"Taquarana (AL)";"10290";"13000"
"MU";"2709152";"Teotônio Vilela (AL)";"6549";"7800"
"MU";"2709202";"Traipu (AL)";"38654";"26244"
"MU";"2709301";"União dos Palmares (AL)";"30795";"32000"
"MU";"2709400";"Viçosa (AL)";"36000";"40000"
"MU";"2800100";"Amparo do São Francisco (SE)";"2906";"1843"
"MU";"2800209";"Aquidabã (SE)";"33000";"21430"
"MU";"2800308";"Aracaju (SE)";"480";"521"
"MU";"2800407";"Arauá (SE)";"15009";"14217"
"MU";"2800506";"Areia Branca (SE)";"3989";"2424"
"MU";"2800605";"Barra dos Coqueiros (SE)";"825";"885"
"MU";"2800670";"Boquim (SE)";"18247";"17493"
"MU";"2800704";"Brejo Grande (SE)";"2830";"3100"
"MU";"2801009";"Campo do Brito (SE)";"17652";"16981"
"MU";"2801108";"Canhoba (SE)";"15100";"9002"
"MU";"2801207";"Canindé de São Francisco (SE)";"31340";"24170"
"MU";"2801306";"Capela (SE)";"23640";"19870"
"MU";"2801405";"Carira (SE)";"42964";"36379"
"MU";"2801504";"Carmópolis (SE)";"3212";"2683"
"MU";"2801603";"Cedro de São João (SE)";"7800";"4501"
"MU";"2801702";"Cristinápolis (SE)";"16417";"12178"
"MU";"2801900";"Cumbe (SE)";"10250";"7980"
"MU";"2802007";"Divina Pastora (SE)";"5716";"5863"
"MU";"2802106";"Estância (SE)";"31777";"29278"
"MU";"2802205";"Feira Nova (SE)";"12250";"9150"
"MU";"2802304";"Frei Paulo (SE)";"30390";"26810"
"MU";"2802403";"Gararu (SE)";"33870";"24130"
"MU";"2802502";"General Maynard (SE)";"2195";"1933"
"MU";"2802601";"Gracho Cardoso (SE)";"14230";"9050"
"MU";"2802700";"Ilha das Flores (SE)";"3190";"2280"
"MU";"2802809";"Indiaroba (SE)";"12071";"8424"
"MU";"2802908";"Itabaiana (SE)";"39677";"35379"
"MU";"2803005";"Itabaianinha (SE)";"29868";"36341"
"MU";"2803104";"Itabi (SE)";"18530";"10850"
"MU";"2803203";"Itaporanga d'Ajuda (SE)";"30114";"24679"
"MU";"2803302";"Japaratuba (SE)";"10660";"9509"
"MU";"2803401";"Japoatã (SE)";"15536";"11890"
"MU";"2803500";"Lagarto (SE)";"66739";"60286"
"MU";"2803609";"Laranjeiras (SE)";"4090";"2847"
"MU";"2803708";"Macambira (SE)";"14967";"11423"
"MU";"2803807";"Malhada dos Bois (SE)";"5000";"3670"
"MU";"2803906";"Malhador (SE)";"6044";"4446"
"MU";"2804003";"Maruim (SE)";"4662";"3763"
"MU";"2804102";"Moita Bonita (SE)";"7464";"8826"
"MU";"2804201";"Monte Alegre de Sergipe (SE)";"23560";"24830"
"MU";"2804300";"Muribeca (SE)";"6970";"6386"
"MU";"2804409";"Neópolis (SE)";"8596";"7013"
"MU";"2804458";"Nossa Senhora Aparecida (SE)";"21697";"17736"
"MU";"2804508";"Nossa Senhora da Glória (SE)";"52340";"43650"
"MU";"2804607";"Nossa Senhora das Dores (SE)";"42470";"35140"
"MU";"2804706";"Nossa Senhora de Lourdes (SE)";"18140";"8230"
"MU";"2804805";"Nossa Senhora do Socorro (SE)";"6420";"3444"
"MU";"2804904";"Pacatuba (SE)";"9449";"8673"
"MU";"2805000";"Pedra Mole (SE)";"3879";"4195"
"MU";"2805109";"Pedrinhas (SE)";"3982";"3654"
"MU";"2805208";"Pinhão (SE)";"10043";"5294"
"MU";"2805307";"Pirambu (SE)";"2118";"1949"
"MU";"2805406";"Poço Redondo (SE)";"42640";"42780"
"MU";"2805505";"Poço Verde (SE)";"19330";"16942"
"MU";"2805604";"Porto da Folha (SE)";"42690";"38960"
"MU";"2805703";"Propriá (SE)";"7830";"7008"
"MU";"2805802";"Riachão do Dantas (SE)";"32456";"31569"
"MU";"2805901";"Riachuelo (SE)";"2185";"2362"
"MU";"2806008";"Ribeirópolis (SE)";"20745";"19417"
"MU";"2806107";"Rosário do Catete (SE)";"4430";"4812"
"MU";"2806206";"Salgado (SE)";"15686";"11729"
"MU";"2806305";"Santa Luzia do Itanhy (SE)";"14598";"10077"
"MU";"2806404";"Santana do São Francisco (SE)";"1614";"1298"
"MU";"2806503";"Santa Rosa de Lima (SE)";"6745";"5645"
"MU";"2806602";"Santo Amaro das Brotas (SE)";"5134";"4132"
"MU";"2806701";"São Cristóvão (SE)";"11754";"10035"
"MU";"2806800";"São Domingos (SE)";"4500";"3386"
"MU";"2806909";"São Francisco (SE)";"4933";"5672"
"MU";"2807006";"São Miguel do Aleixo (SE)";"11131";"8377"
"MU";"2807105";"Simão Dias (SE)";"33077";"29172"
"MU";"2807204";"Siriri (SE)";"8740";"7860"
"MU";"2807303";"Telha (SE)";"5170";"4006"
"MU";"2807402";"Tobias Barreto (SE)";"56294";"50232"
"MU";"2807501";"Tomar do Geru (SE)";"18447";"18167"
"MU";"2807600";"Umbaúba (SE)";"6636";"5191"
"MU";"2900108";"Abaíra (BA)";"2418";"1886"
"MU";"2900207";"Abaré (BA)";"6660";"4992"
"MU";"2900306";"Acajutiba (BA)";"12847";"12523"
"MU";"2900355";"Adustina (BA)";"13598";"13816"
"MU";"2900405";"Água Fria (BA)";"9298";"7219"
"MU";"2900504";"Érico Cardoso (BA)";"3110";"1068"
"MU";"2900603";"Aiquara (BA)";"13243";"13109"
"MU";"2900702";"Alagoinhas (BA)";"22019";"17635"
"MU";"2900801";"Alcobaça (BA)";"46357";"38199"
"MU";"2900900";"Almadina (BA)";"13870";"9675"
"MU";"2901007";"Amargosa (BA)";"29597";"24525"
"MU";"2901106";"Amélia Rodrigues (BA)";"8984";"7794"
"MU";"2901155";"América Dourada (BA)";"9808";"8942"
"MU";"2901205";"Anagé (BA)";"26822";"26099"
"MU";"2901304";"Andaraí (BA)";"14514";"17814"
"MU";"2901353";"Andorinha (BA)";"17431";"13900"
"MU";"2901403";"Angical (BA)";"99000";"103723"
"MU";"2901502";"Anguera (BA)";"8401";"7056"
"MU";"2901601";"Antas (BA)";"20718";"13473"
"MU";"2901700";"Antônio Cardoso (BA)";"16095";"13154"
"MU";"2901809";"Antônio Gonçalves (BA)";"6075";"3500"
"MU";"2901908";"Aporá (BA)";"22719";"22390"
"MU";"2901957";"Apuarema (BA)";"4977";"3779"
"MU";"2902005";"Aracatu (BA)";"29958";"33238"
"MU";"2902054";"Araçás (BA)";"5418";"4085"
"MU";"2902104";"Araci (BA)";"22127";"18537"
"MU";"2902203";"Aramari (BA)";"6307";"5326"
"MU";"2902252";"Arataca (BA)";"1788";"1507"
"MU";"2902302";"Aratuípe (BA)";"4649";"2341"
"MU";"2902401";"Aurelino Leal (BA)";"23298";"19821"
"MU";"2902500";"Baianópolis (BA)";"34467";"43493"
"MU";"2902609";"Baixa Grande (BA)";"34448";"30695"
"MU";"2902658";"Banzaê (BA)";"14213";"11367"
"MU";"2902708";"Barra (BA)";"31358";"30000"
"MU";"2902807";"Barra da Estiva (BA)";"14699";"13232"
"MU";"2902906";"Barra do Choça (BA)";"24760";"21687"
"MU";"2903003";"Barra do Mendes (BA)";"10457";"8452"
"MU";"2903102";"Barra do Rocha (BA)";"7022";"6027"
"MU";"2903201";"Barreiras (BA)";"68100";"80218"
"MU";"2903235";"Barro Alto (BA)";"7151";"5695"
"MU";"2903276";"Barrocas (BA)";"6318";"5500"
"MU";"2903300";"Barro Preto (BA)";"5237";"4351"
"MU";"2903409";"Belmonte (BA)";"36193";"30926"
"MU";"2903508";"Belo Campo (BA)";"16129";"14549"
"MU";"2903607";"Biritinga (BA)";"14369";"13518"
"MU";"2903706";"Boa Nova (BA)";"20038";"15699"
"MU";"2903805";"Boa Vista do Tupim (BA)";"46786";"52089"
"MU";"2903904";"Bom Jesus da Lapa (BA)";"62628";"59635"
"MU";"2903953";"Bom Jesus da Serra (BA)";"9263";"8481"
"MU";"2904001";"Boninal (BA)";"10997";"8649"
"MU";"2904050";"Bonito (BA)";"5218";"5847"
"MU";"2904100";"Boquira (BA)";"13741";"9900"
"MU";"2904209";"Botuporã (BA)";"16668";"16720"
"MU";"2904308";"Brejões (BA)";"8339";"13771"
"MU";"2904407";"Brejolândia (BA)";"81844";"89222"
"MU";"2904506";"Brotas de Macaúbas (BA)";"19012";"11000"
"MU";"2904605";"Brumado (BA)";"50664";"56556"
"MU";"2904704";"Buerarema (BA)";"10555";"10100"
"MU";"2904753";"Buritirama (BA)";"26678";"26960"
"MU";"2904803";"Caatiba (BA)";"44463";"40098"
"MU";"2904852";"Cabaceiras do Paraguaçu (BA)";"5879";"4567"
"MU";"2904902";"Cachoeira (BA)";"10719";"8770"
"MU";"2905008";"Caculé (BA)";"19777";"14714"
"MU";"2905107";"Caém (BA)";"17561";"13786"
"MU";"2905156";"Caetanos (BA)";"11342";"9179"
"MU";"2905206";"Caetité (BA)";"32777";"23364"
"MU";"2905305";"Cafarnaum (BA)";"7196";"6347"
"MU";"2905404";"Cairu (BA)";"52";"7"
"MU";"2905503";"Caldeirão Grande (BA)";"13207";"7805"
"MU";"2905602";"Camacan (BA)";"17052";"15052"
"MU";"2905701";"Camaçari (BA)";"2564";"1546"
"MU";"2905800";"Camamu (BA)";"2627";"1874"
"MU";"2905909";"Campo Alegre de Lourdes (BA)";"15317";"12602"
"MU";"2906006";"Campo Formoso (BA)";"29053";"36000"
"MU";"2906105";"Canápolis (BA)";"20941";"21168"
"MU";"2906204";"Canarana (BA)";"11704";"8873"
"MU";"2906303";"Canavieiras (BA)";"54076";"38859"
"MU";"2906402";"Candeal (BA)";"17904";"15714"
"MU";"2906501";"Candeias (BA)";"8546";"5067"
"MU";"2906600";"Candiba (BA)";"22861";"21897"
"MU";"2906709";"Cândido Sales (BA)";"13600";"11607"
"MU";"2906808";"Cansanção (BA)";"16339";"12129"
"MU";"2906824";"Canudos (BA)";"3031";"4172"
"MU";"2906857";"Capela do Alto Alegre (BA)";"24782";"24788"
"MU";"2906873";"Capim Grosso (BA)";"17914";"16557"
"MU";"2906899";"Caraíbas (BA)";"13979";"13327"
"MU";"2906907";"Caravelas (BA)";"58900";"57065"
"MU";"2907004";"Cardeal da Silva (BA)";"5734";"5067"
"MU";"2907103";"Carinhanha (BA)";"64571";"65200"
"MU";"2907202";"Casa Nova (BA)";"25148";"12362"
"MU";"2907301";"Castro Alves (BA)";"33058";"31546"
"MU";"2907400";"Catolândia (BA)";"12380";"12758"
"MU";"2907509";"Catu (BA)";"18196";"11978"
"MU";"2907558";"Caturama (BA)";"18025";"12205"
"MU";"2907608";"Central (BA)";"6434";"6228"
"MU";"2907707";"Chorrochó (BA)";"4931";"3519"
"MU";"2907806";"Cícero Dantas (BA)";"30621";"24822"
"MU";"2907905";"Cipó (BA)";"7214";"3981"
"MU";"2908002";"Coaraci (BA)";"12541";"10731"
"MU";"2908101";"Cocos (BA)";"50636";"48242"
"MU";"2908200";"Conceição da Feira (BA)";"7057";"5312"
"MU";"2908309";"Conceição do Almeida (BA)";"22815";"19156"
"MU";"2908408";"Conceição do Coité (BA)";"25273";"18736"
"MU";"2908507";"Conceição do Jacuípe (BA)";"11705";"8939"
"MU";"2908606";"Conde (BA)";"19486";"15206"
"MU";"2908705";"Condeúba (BA)";"21378";"14213"
"MU";"2908804";"Contendas do Sincorá (BA)";"8207";"6065"
"MU";"2908903";"Coração de Maria (BA)";"18452";"18243"
"MU";"2909000";"Cordeiros (BA)";"7997";"6109"
"MU";"2909109";"Coribe (BA)";"81008";"81581"
"MU";"2909208";"Coronel João Sá (BA)";"30062";"24791"
"MU";"2909307";"Correntina (BA)";"125697";"132371"
"MU";"2909406";"Cotegipe (BA)";"101254";"94431"
"MU";"2909505";"Cravolândia (BA)";"6564";"5236"
"MU";"2909604";"Crisópolis (BA)";"23645";"18777"
"MU";"2909703";"Cristópolis (BA)";"28502";"28759"
"MU";"2909802";"Cruz das Almas (BA)";"6668";"4472"
"MU";"2909901";"Curaçá (BA)";"8802";"6803"
"MU";"2910008";"Dário Meira (BA)";"16046";"17830"
"MU";"2910057";"Dias d'Ávila (BA)";"637";"879"
"MU";"2910107";"Dom Basílio (BA)";"13500";"11211"
"MU";"2910206";"Dom Macedo Costa (BA)";"11334";"9313"
"MU";"2910305";"Elísio Medrado (BA)";"10834";"10394"
"MU";"2910404";"Encruzilhada (BA)";"34238";"32378"
"MU";"2910503";"Entre Rios (BA)";"27262";"25980"
"MU";"2910602";"Esplanada (BA)";"20690";"19869"
"MU";"2910701";"Euclides da Cunha (BA)";"45778";"39546"
"MU";"2910727";"Eunápolis (BA)";"86325";"67075"
"MU";"2910750";"Fátima (BA)";"14341";"12389"
"MU";"2910776";"Feira da Mata (BA)";"31919";"31751"
"MU";"2910800";"Feira de Santana (BA)";"54300";"43132"
"MU";"2910859";"Filadélfia (BA)";"20113";"13682"
"MU";"2910909";"Firmino Alves (BA)";"18091";"18789"
"MU";"2911006";"Floresta Azul (BA)";"26802";"27980"
"MU";"2911105";"Formosa do Rio Preto (BA)";"52791";"63414"
"MU";"2911204";"Gandu (BA)";"4390";"2689"
"MU";"2911253";"Gavião (BA)";"14182";"12700"
"MU";"2911303";"Gentio do Ouro (BA)";"6161";"5422"
"MU";"2911402";"Glória (BA)";"5149";"4138"
"MU";"2911501";"Gongogi (BA)";"30164";"25119"
"MU";"2911600";"Governador Mangabeira (BA)";"2560";"821"
"MU";"2911659";"Guajeru (BA)";"16353";"14734"
"MU";"2911709";"Guanambi (BA)";"56419";"58474"
"MU";"2911808";"Guaratinga (BA)";"152339";"137277"
"MU";"2911857";"Heliópolis (BA)";"20446";"16964"
"MU";"2911907";"Iaçu (BA)";"41571";"37406"
"MU";"2912004";"Ibiassucê (BA)";"15486";"11740"
"MU";"2912103";"Ibicaraí (BA)";"22220";"16841"
"MU";"2912202";"Ibicoara (BA)";"5217";"8223"
"MU";"2912301";"Ibicuí (BA)";"104235";"103515"
"MU";"2912400";"Ibipeba (BA)";"10721";"7645"
"MU";"2912509";"Ibipitanga (BA)";"14819";"10600"
"MU";"2912608";"Ibiquera (BA)";"14238";"15169"
"MU";"2912707";"Ibirapitanga (BA)";"3100";"1549"
